index,Final_description
p03371,"""pizza at"", a fast food chain, offers three kinds of pizza: ""a-pizza"", ""b-pizza"" and ""ab-pizza"". a-pizza and b-pizza are completely different pizzas, and ab-pizza is one half of a-pizza and one half of b-pizza combined together. the prices of one a-pizza, b-pizza and ab-pizza are a yen, b yen and c yen (yen is the currency of japan), respectively. nakahashi needs to prepare x a-pizzas and y b-pizzas for a party tonight. he can only obtain these pizzas by directly buying a-pizzas and b-pizzas, or buying two ab-pizzas and then rearrange them into one a-pizza and one b-pizza. at least how much money does he need for this? it is fine to have more pizzas than necessary by rearranging pizzas. 
"
p03372,"""teishi-zushi"", a japanese restaurant, is a plain restaurant with only one round counter. the outer circumference of the counter is c meters. customers cannot go inside the counter. nakahashi entered teishi-zushi, and he was guided to the counter. now, there are n pieces of sushi (vinegared rice with seafood and so on) on the counter. the distance measured clockwise from the point where nakahashi is standing to the point where the i-th sushi is placed, is x_i meters. also, the i-th sushi has a nutritive value of v_i kilocalories. nakahashi can freely walk around the circumference of the counter. when he reach a point where a sushi is placed, he can eat that sushi and take in its nutrition (naturally, the sushi disappears). however, while walking, he consumes 1 kilocalories per meter. whenever he is satisfied, he can leave the restaurant from any place (he does not have to return to the initial place). on balance, at most how much nutrition can he take in before he leaves? that is, what is the maximum possible value of the total nutrition taken in minus the total energy consumed? assume that there are no other customers, and no new sushi will be added to the counter. also, since nakahashi has plenty of nutrition in his body, assume that no matter how much he walks and consumes energy, he never dies from hunger. 
"
p03373,"""pizza at"", a fast food chain, offers three kinds of pizza: ""a-pizza"", ""b-pizza"" and ""ab-pizza"". a-pizza and b-pizza are completely different pizzas, and ab-pizza is one half of a-pizza and one half of b-pizza combined together. the prices of one a-pizza, b-pizza and ab-pizza are a yen, b yen and c yen (yen is the currency of japan), respectively. nakahashi needs to prepare x a-pizzas and y b-pizzas for a party tonight. he can only obtain these pizzas by directly buying a-pizzas and b-pizzas, or buying two ab-pizzas and then rearrange them into one a-pizza and one b-pizza. at least how much money does he need for this? it is fine to have more pizzas than necessary by rearranging pizzas. 
"
p03377,"there are a total of a + b cats and dogs.
among them, a are known to be cats, but the remaining b are not known to be either cats or dogs. determine if it is possible that there are exactly x cats among these a + b animals. 
"
p03378,"there are n + 1 squares arranged in a row, numbered 0, 1, ..., n from left to right. initially, you are in square x.
you can freely travel between adjacent squares. your goal is to reach square 0 or square n.
however, for each i = 1, 2, ..., m, there is a toll gate in square a_i, and traveling to square a_i incurs a cost of 1.
it is guaranteed that there is no toll gate in square 0, square x and square n. find the minimum cost incurred before reaching the goal. 
"
p03379,"when l is an odd number, the median of l numbers a_1, a_2, ..., a_l is the (\frac{l+1}{2})-th largest value among a_1, a_2, ..., a_l. you are given n numbers x_1, x_2, ..., x_n, where n is an even number.
for each i = 1, 2, ..., n, let the median of x_1, x_2, ..., x_n excluding x_i, that is, the median of x_1, x_2, ..., x_{i-1}, x_{i+1}, ..., x_n be b_i. find b_i for each i = 1, 2, ..., n. 
"
p03380,"let {\rm comb}(n,r) be the number of ways to choose r objects from among n objects, disregarding order.
from n non-negative integers a_1, a_2, ..., a_n, select two numbers a_i &gt; a_j so that {\rm comb}(a_i,a_j) is maximized.
if there are multiple pairs that maximize the value, any of them is accepted. 
"
p03381,"when l is an odd number, the median of l numbers a_1, a_2, ..., a_l is the (\frac{l+1}{2})-th largest value among a_1, a_2, ..., a_l. you are given n numbers x_1, x_2, ..., x_n, where n is an even number.
for each i = 1, 2, ..., n, let the median of x_1, x_2, ..., x_n excluding x_i, that is, the median of x_1, x_2, ..., x_{i-1}, x_{i+1}, ..., x_n be b_i. find b_i for each i = 1, 2, ..., n. 
"
p03385,"you are given a string s of length 3 consisting of a, b and c. determine if s can be obtained by permuting abc. 
"
p03386,"print all the integers that satisfies the following in ascending order: among the integers between a and b (inclusive), it is either within the k smallest integers or within the k largest integers. 

"
p03387,"you are given three integers a, b and c. find the minimum number of operations required to make a, b and c all equal by repeatedly performing the following two kinds of operations in any order: choose two among a, b and c, then increase both by 1. choose one among a, b and c, then increase it by 2. it can be proved that we can always make a, b and c all equal by repeatedly performing these operations. 
"
p03388,"10^{10^{10}} participants, including takahashi, competed in two programming contests.
in each contest, all participants had distinct ranks from first through 10^{10^{10}}-th. the score of a participant is the product of his/her ranks in the two contests. process the following q queries: in the i-th query, you are given two positive integers a_i and b_i. assuming that takahashi was ranked a_i-th in the first contest and b_i-th in the second contest, find the maximum possible number of participants whose scores are smaller than takahashi's. 

"
p03389,"you are given three integers a, b and c. find the minimum number of operations required to make a, b and c all equal by repeatedly performing the following two kinds of operations in any order: choose two among a, b and c, then increase both by 1. choose one among a, b and c, then increase it by 2. it can be proved that we can always make a, b and c all equal by repeatedly performing these operations. 
"
p03391,"you are given sequences a and b consisting of non-negative integers.
the lengths of both a and b are n, and the sums of the elements in a and b are equal.
the i-th element in a is a_i, and the i-th element in b is b_i. tozan and gezan repeats the following sequence of operations: if a and b are equal sequences, terminate the process. otherwise, first tozan chooses a positive element in a and decrease it by 1. then, gezan chooses a positive element in b and decrease it by 1. then, give one candy to takahashi, their pet. tozan wants the number of candies given to takahashi until the process is terminated to be as large as possible, while gezan wants it to be as small as possible.
find the number of candies given to takahashi when both of them perform the operations optimally. 
"
p03393,"gotou just received a dictionary. however, he doesn't recognize the language used in the dictionary. he did some analysis on the dictionary and realizes that the dictionary contains all possible diverse words in lexicographical order. a word is called diverse if and only if it is a nonempty string of english lowercase letters and all letters in the word are distinct. for example, atcoder, zscoder and agc are diverse words while gotou and connect aren't diverse words. given a diverse word s, determine the next word that appears after s in the dictionary, i.e. the lexicographically smallest diverse word that is lexicographically larger than s, or determine that it doesn't exist. let x = x_{1}x_{2}...x_{n} and y = y_{1}y_{2}...y_{m} be two distinct strings. x is lexicographically larger than y if and only if y is a prefix of x or x_{j} &gt; y_{j} where j is the smallest integer such that x_{j} \neq y_{j}. 
"
p03394,"nagase is a top student in high school. one day, she's analyzing some properties of special sets of positive integers.   she thinks that a set s = \{a_{1}, a_{2}, ..., a_{n}\} of distinct positive integers is called special if for all 1 \leq i \leq n, the gcd (greatest common divisor) of a_{i} and the sum of the remaining elements of s is not 1. nagase wants to find a special set of size n. however, this task is too easy, so she decided to ramp up the difficulty. nagase challenges you to find a special set of size n such that the gcd of all elements are 1 and the elements of the set does not exceed 30000. 
"
p03399,"you planned a trip using trains and buses.
the train fare will be a yen (the currency of japan) if you buy ordinary tickets along the way, and b yen if you buy an unlimited ticket.
similarly, the bus fare will be c yen if you buy ordinary tickets along the way, and d yen if you buy an unlimited ticket. find the minimum total fare when the optimal choices are made for trains and buses. 
"
p03400,"some number of chocolate pieces were prepared for a training camp.
the camp had n participants and lasted for d days.
the i-th participant (1 \leq i \leq n) ate one chocolate piece on each of the following days in the camp: the 1-st day, the (a_i + 1)-th day, the (2a_i + 1)-th day, and so on.
as a result, there were x chocolate pieces remaining at the end of the camp. during the camp, nobody except the participants ate chocolate pieces. find the number of chocolate pieces prepared at the beginning of the camp. 
"
p03401,"there are n sightseeing spots on the x-axis, numbered 1, 2, ..., n.
spot i is at the point with coordinate a_i.
it costs |a - b| yen (the currency of japan) to travel from a point with coordinate a to another point with coordinate b along the axis. you planned a trip along the axis.
in this plan, you first depart from the point with coordinate 0, then visit the n spots in the order they are numbered, and finally return to the point with coordinate 0. however, something came up just before the trip, and you no longer have enough time to visit all the n spots, so you decided to choose some i and cancel the visit to spot i.
you will visit the remaining spots as planned in the order they are numbered.
you will also depart from and return to the point with coordinate 0 at the beginning and the end, as planned. for each i = 1, 2, ..., n, find the total cost of travel during the trip when the visit to spot i is canceled. 
"
p03403,"there are n sightseeing spots on the x-axis, numbered 1, 2, ..., n.
spot i is at the point with coordinate a_i.
it costs |a - b| yen (the currency of japan) to travel from a point with coordinate a to another point with coordinate b along the axis. you planned a trip along the axis.
in this plan, you first depart from the point with coordinate 0, then visit the n spots in the order they are numbered, and finally return to the point with coordinate 0. however, something came up just before the trip, and you no longer have enough time to visit all the n spots, so you decided to choose some i and cancel the visit to spot i.
you will visit the remaining spots as planned in the order they are numbered.
you will also depart from and return to the point with coordinate 0 at the beginning and the end, as planned. for each i = 1, 2, ..., n, find the total cost of travel during the trip when the visit to spot i is canceled. 
"
p03404,"you are given two integers a and b. print a grid where each square is painted white or black that satisfies the following conditions, in the format specified in output section: let the size of the grid be h \times w (h vertical, w horizontal). both h and w are at most 100. the set of the squares painted white is divided into exactly a connected components. the set of the squares painted black is divided into exactly b connected components. it can be proved that there always exist one or more solutions under the conditions specified in constraints section.
if there are multiple solutions, any of them may be printed. 
"
p03407,"an elementary school student takahashi has come to a variety store. he has two coins, a-yen and b-yen coins (yen is the currency of japan), and wants to buy a toy that costs c yen. can he buy it? note that he lives in takahashi kingdom, and may have coins that do not exist in japan. 
"
p03408,"takahashi has n blue cards and m red cards.
a string is written on each card. the string written on the i-th blue card is s_i, and the string written on the i-th red card is t_i. takahashi will now announce a string, and then check every card. each time he finds a blue card with the string announced by him, he will earn 1 yen (the currency of japan); each time he finds a red card with that string, he will lose 1 yen. here, we only consider the case where the string announced by takahashi and the string on the card are exactly the same. for example, if he announces atcoder, he will not earn money even if there are blue cards with atcoderr, atcode, btcoder, and so on. (on the other hand, he will not lose money even if there are red cards with such strings, either.) at most how much can he earn on balance? note that the same string may be written on multiple cards. 
"
p03409,"on a two-dimensional plane, there are n red points and n blue points.
the coordinates of the i-th red point are (a_i, b_i), and the coordinates of the i-th blue point are (c_i, d_i). a red point and a blue point can form a friendly pair when, the x-coordinate of the red point is smaller than that of the blue point, and the y-coordinate of the red point is also smaller than that of the blue point. at most how many friendly pairs can you form? note that a point cannot belong to multiple pairs. 
"
p03411,"on a two-dimensional plane, there are n red points and n blue points.
the coordinates of the i-th red point are (a_i, b_i), and the coordinates of the i-th blue point are (c_i, d_i). a red point and a blue point can form a friendly pair when, the x-coordinate of the red point is smaller than that of the blue point, and the y-coordinate of the red point is also smaller than that of the blue point. at most how many friendly pairs can you form? note that a point cannot belong to multiple pairs. 
"
p03415,"we have a 3×3 square grid, where each square contains a lowercase english letters.
the letter in the square at the i-th row from the top and j-th column from the left is c_{ij}. print the string of length 3 that can be obtained by concatenating the letters in the squares on the diagonal connecting the top-left and bottom-right corner of the grid, from the top-left to bottom-right. 
"
p03416,"find the number of palindromic numbers among the integers between a and b (inclusive).
here, a palindromic number is a positive integer whose string representation in base 10 (without leading zeros) reads the same forward and backward. 
"
p03417,"there is a grid with infinitely many rows and columns. in this grid, there is a rectangular region with consecutive n rows and m columns, and a card is placed in each square in this region.
the front and back sides of these cards can be distinguished, and initially every card faces up. we will perform the following operation once for each square contains a card: for each of the following nine squares, flip the card in it if it exists: the target square itself and the eight squares that shares a corner or a side with the target square. it can be proved that, whether each card faces up or down after all the operations does not depend on the order the operations are performed.
find the number of cards that face down after all the operations. 
"
p03418,"takahashi had a pair of two positive integers not exceeding n, (a,b), which he has forgotten.
he remembers that the remainder of a divided by b was greater than or equal to k.
find the number of possible pairs that he may have had. 
"
p03419,"there is a grid with infinitely many rows and columns. in this grid, there is a rectangular region with consecutive n rows and m columns, and a card is placed in each square in this region.
the front and back sides of these cards can be distinguished, and initially every card faces up. we will perform the following operation once for each square contains a card: for each of the following nine squares, flip the card in it if it exists: the target square itself and the eight squares that shares a corner or a side with the target square. it can be proved that, whether each card faces up or down after all the operations does not depend on the order the operations are performed.
find the number of cards that face down after all the operations. 
"
p03420,"takahashi had a pair of two positive integers not exceeding n, (a,b), which he has forgotten.
he remembers that the remainder of a divided by b was greater than or equal to k.
find the number of possible pairs that he may have had. 
"
p03423,"there are n students in a school. we will divide these students into some groups, and in each group they will discuss some themes. you think that groups consisting of two or less students cannot have an effective discussion, so you want to have as many groups consisting of three or more students as possible. divide the students so that the number of groups consisting of three or more students is maximized. 
"
p03424,"in japan, people make offerings called hina arare, colorful crackers, on march 3. we have a bag that contains n hina arare. (from here, we call them arare.) it is known that the bag either contains arare in three colors: pink, white and green, or contains arare in four colors: pink, white, green and yellow. we have taken out the arare in the bag one by one, and the color of the i-th arare was s_i, where colors are represented as follows - pink: p, white: w, green: g, yellow: y. if the number of colors of the arare in the bag was three, print three; if the number of colors was four, print four. 
"
p03425,"there are n people. the name of the i-th person is s_i. we would like to choose three people so that the following conditions are met: the name of every chosen person begins with m, a, r, c or h. there are no multiple people whose names begin with the same letter. how many such ways are there to choose three people, disregarding order? note that the answer may not fit into a 32-bit integer type. 
"
p03426,"we have a grid with h rows and w columns. the square at the i-th row and the j-th column will be called square (i,j). the integers from 1 through h×w are written throughout the grid, and the integer written in square (i,j) is a_{i,j}. you, a magical girl, can teleport a piece placed on square (i,j) to square (x,y) by consuming |x-i|+|y-j| magic points. you now have to take q practical tests of your ability as a magical girl. the i-th test will be conducted as follows: initially, a piece is placed on the square where the integer l_i is written. 
 let x be the integer written in the square occupied by the piece. repeatedly move the piece to the square where the integer x+d is written, as long as x is not r_i. the test ends when x=r_i. 
 here, it is guaranteed that r_i-l_i is a multiple of d. 
 for each test, find the sum of magic points consumed during that test. 
"
p03427,"find the maximum possible sum of the digits (in base 10) of a positive integer not greater than n. 
"
p03433,"e869120 has a 1-yen coins and infinitely many 500-yen coins.
determine if he can pay exactly n yen using only these coins. 
"
p03434,"we have n cards. a number a_i is written on the i-th card.
alice and bob will play a game using these cards. in this game, alice and bob alternately take one card. alice goes first.
the game ends when all the cards are taken by the two players, and the score of each player is the sum of the numbers written on the cards he/she has taken. when both players take the optimal strategy to maximize their scores, find alice's score minus bob's score. 
"
p03435,"we have a 3 \times 3 grid. a number c_{i, j} is written in the square (i, j), where (i, j) denotes the square at the i-th row from the top and the j-th column from the left.
according to takahashi, there are six integers a_1, a_2, a_3, b_1, b_2, b_3 whose values are fixed, and the number written in the square (i, j) is equal to a_i + b_j.
determine if he is correct.   
"
p03436,"we have an h \times w grid whose squares are painted black or white. the square at the i-th row from the top and the j-th column from the left is denoted as (i, j).
snuke would like to play the following game on this grid. at the beginning of the game, there is a character called kenus at square (1, 1). the player repeatedly moves kenus up, down, left or right by one square. the game is completed when kenus reaches square (h, w) passing only white squares.
before snuke starts the game, he can change the color of some of the white squares to black. however, he cannot change the color of square (1, 1) and (h, w). also, changes of color must all be carried out before the beginning of the game.
when the game is completed, snuke's score will be the number of times he changed the color of a square before the beginning of the game. find the maximum possible score that snuke can achieve, or print -1 if the game cannot be completed, that is, kenus can never reach square (h, w) regardless of how snuke changes the color of the squares.   the color of the squares are given to you as characters s_{i, j}. if square (i, j) is initially painted by white, s_{i, j} is .; if square (i, j) is initially painted by black, s_{i, j} is #. 
"
p03437,"you are given positive integers x and y.
if there exists a positive integer not greater than 10^{18} that is a multiple of x but not a multiple of y, choose one such integer and print it.
if it does not exist, print -1. 
"
p03438,"you are given two integer sequences of length n: a_1,a_2,..,a_n and b_1,b_2,..,b_n.
determine if we can repeat the following operation zero or more times so that the sequences a and b become equal. operation: choose two integers i and j (possibly the same) between 1 and n (inclusive), then perform the following two actions simultaneously: add 2 to a_i. add 1 to b_j. 

"
p03447,"you went shopping to buy cakes and donuts with x yen (the currency of japan). first, you bought one cake for a yen at a cake shop.
then, you bought as many donuts as possible for b yen each, at a donut shop. how much do you have left after shopping? 
"
p03448,"you have a 500-yen coins, b 100-yen coins and c 50-yen coins (yen is the currency of japan).
in how many ways can we select some of these coins so that they are x yen in total? coins of the same kind cannot be distinguished. two ways to select coins are distinguished when, for some kind of coin, the numbers of that coin are different. 
"
p03449,"we have a 2 \times n grid. we will denote the square at the i-th row and j-th column (1 \leq i \leq 2, 1 \leq j \leq n) as (i, j). you are initially in the top-left square, (1, 1).
you will travel to the bottom-right square, (2, n), by repeatedly moving right or down. the square (i, j) contains a_{i, j} candies.
you will collect all the candies you visit during the travel.
the top-left and bottom-right squares also contain candies, and you will also collect them. at most how many candies can you collect when you choose the best way to travel? 
"
p03451,"we have a 2 \times n grid. we will denote the square at the i-th row and j-th column (1 \leq i \leq 2, 1 \leq j \leq n) as (i, j). you are initially in the top-left square, (1, 1).
you will travel to the bottom-right square, (2, n), by repeatedly moving right or down. the square (i, j) contains a_{i, j} candies.
you will collect all the candies you visit during the travel.
the top-left and bottom-right squares also contain candies, and you will also collect them. at most how many candies can you collect when you choose the best way to travel? 
"
p03455,"atcodeer the deer found two positive integers, a and b.
determine whether the product of a and b is even or odd. 
"
p03456,"atcodeer the deer has found two positive integers, a and b.
determine whether the concatenation of a and b in this order is a square number. 
"
p03457,"atcodeer the deer is going on a trip in a two-dimensional plane.
in his plan, he will depart from point (0, 0) at time 0, then for each i between 1 and n (inclusive), he will visit point (x_i,y_i) at time t_i. if atcodeer is at point (x, y) at time t, he can be at one of the following points at time t+1: (x+1,y), (x-1,y), (x,y+1) and (x,y-1).
note that he cannot stay at his place.
determine whether he can carry out his plan. 
"
p03463,"a game is played on a strip consisting of n cells consecutively numbered from 1 to n.  alice has her token on cell a. borys has his token on a different cell b. players take turns, alice moves first.
the moving player must shift his or her token from its current cell x to the neighboring cell on the left, cell x-1, or on the right, cell x+1.
note that it's disallowed to move the token outside the strip or to the cell with the other player's token.
in one turn, the token of the moving player must be shifted exactly once. the player who can't make a move loses, and the other player wins. both players want to win. who wins if they play optimally? 
"
p03464,"an adult game master and n children are playing a game on an ice rink.
the game consists of k rounds.
in the i-th round, the game master announces: form groups consisting of a_i children each! then the children who are still in the game form as many groups of a_i children as possible.
one child may belong to at most one group.
those who are left without a group leave the game. the others proceed to the next round.
note that it's possible that nobody leaves the game in some round. in the end, after the k-th round, there are exactly two children left, and they are declared the winners. you have heard the values of a_1, a_2, ..., a_k. you don't know n, but you want to estimate it. find the smallest and the largest possible number of children in the game before the start, or determine that no valid values of n exist. 
"
p03469,"on some day in january 2018, takaki is writing a document. the document has a column where the current date is written in yyyy/mm/dd format. for example, january 23, 2018 should be written as 2018/01/23. after finishing the document, she noticed that she had mistakenly wrote 2017 at the beginning of the date column. write a program that, when the string that takaki wrote in the date column, s, is given as input, modifies the first four characters in s to 2018 and prints it. 
"
p03470,"an x-layered kagami mochi (x ≥ 1) is a pile of x round mochi (rice cake) stacked vertically where each mochi (except the bottom one) has a smaller diameter than that of the mochi directly below it. for example, if you stack three mochi with diameters of 10, 8 and 6 centimeters from bottom to top in this order, you have a 3-layered kagami mochi; if you put just one mochi, you have a 1-layered kagami mochi. lunlun the dachshund has n round mochi, and the diameter of the i-th mochi is d_i centimeters. when we make a kagami mochi using some or all of them, at most how many layers can our kagami mochi have? 
"
p03471,"the commonly used bills in japan are 10000-yen, 5000-yen and 1000-yen bills. below, the word ""bill"" refers to only these. according to aohashi, he received an otoshidama (new year money gift) envelope from his grandfather that contained n bills for a total of y yen, but he may be lying. determine whether such a situation is possible, and if it is, find a possible set of bills contained in the envelope. assume that his grandfather is rich enough, and the envelope was large enough. 
"
p03472,"you are going out for a walk, when you suddenly encounter a monster. fortunately, you have n katana (swords), katana 1, katana 2, …, katana n, and can perform the following two kinds of attacks in any order: wield one of the katana you have. when you wield katana i (1 ≤ i ≤ n), the monster receives a_i points of damage. the same katana can be wielded any number of times. throw one of the katana you have. when you throw katana i (1 ≤ i ≤ n) at the monster, it receives b_i points of damage, and you lose the katana. that is, you can no longer wield or throw that katana. the monster will vanish when the total damage it has received is h points or more. at least how many attacks do you need in order to vanish it in total? 
"
p03473,"how many hours do we have until new year at m o'clock (24-hour notation) on 30th, december? 
"
p03474,"the postal code in atcoder kingdom is a+b+1 characters long, its (a+1)-th character is a hyphen -, and the other characters are digits from 0 through 9. you are given a string s. determine whether it follows the postal code format in atcoder kingdom. 
"
p03475,"a railroad running from west to east in atcoder kingdom is now complete. there are n stations on the railroad, numbered 1 through n from west to east. tomorrow, the opening ceremony of the railroad will take place. on this railroad, for each integer i such that 1≤i≤n-1, there will be trains that run from station i to station i+1 in c_i seconds. no other trains will be operated. the first train from station i to station i+1 will depart station i s_i seconds after the ceremony begins. thereafter, there will be a train that departs station i every f_i seconds. here, it is guaranteed that f_i divides s_i. that is, for each time t satisfying s_i≤t and t％f_i=0, there will be a train that departs station i t seconds after the ceremony begins and arrives at station i+1 t+c_i seconds after the ceremony begins, where a％b denotes a modulo b, and there will be no other trains. for each i, find the earliest possible time we can reach station n if we are at station i when the ceremony begins, ignoring the time needed to change trains. 
"
p03476,"we say that a odd number n is similar to 2017 when both n and (n+1)/2 are prime. you are given q queries. in the i-th query, given two odd numbers l_i and r_i, find the number of odd numbers x similar to 2017 such that l_i ≤ x ≤ r_i. 
"
p03477,"a balance scale tips to the left if l&gt;r, where l is the total weight of the masses on the left pan and r is the total weight of the masses on the right pan. similarly, it balances if l=r, and tips to the right if l&lt;r. takahashi placed a mass of weight a and a mass of weight b on the left pan of a balance scale, and placed a mass of weight c and a mass of weight d on the right pan. print left if the balance scale tips to the left; print balanced if it balances; print right if it tips to the right. 
"
p03478,"find the sum of the integers between 1 and n (inclusive), whose sum of digits written in base 10 is between a and b (inclusive). 
"
p03479,"as a token of his gratitude, takahashi has decided to give his mother an integer sequence.
the sequence a needs to satisfy the conditions below: a consists of integers between x and y (inclusive). for each 1\leq i \leq |a|-1, a_{i+1} is a multiple of a_i and strictly greater than a_i. find the maximum possible length of the sequence. 
"
p03485,"you are given two positive integers a and b.
let x be the average of a and b.
print x rounded up to the nearest integer. 
"
p03486,"you are given strings s and t, consisting of lowercase english letters.
you will create a string s' by freely rearranging the characters in s.
you will also create a string t' by freely rearranging the characters in t.
determine whether it is possible to satisfy s' &lt; t' for the lexicographic order. 
"
p03487,"you are given a sequence of positive integers of length n, a = (a_1, a_2, ..., a_n).
your objective is to remove some of the elements in a so that a will be a good sequence. here, an sequence b is a good sequence when the following condition holds true: for each element x in b, the value x occurs exactly x times in b. for example, (3, 3, 3), (4, 2, 4, 1, 4, 2, 4) and () (an empty sequence) are good sequences, while (3, 3, 3, 3) and (2, 4, 1, 4, 2) are not. find the minimum number of elements that needs to be removed so that a will be a good sequence. 
"
p03488,"a robot is put at the origin in a two-dimensional plane.
initially, the robot is facing in the positive x-axis direction. this robot will be given an instruction sequence s.
s consists of the following two kinds of letters, and will be executed in order from front to back. f : move in the current direction by distance 1. t : turn 90 degrees, either clockwise or counterclockwise. the objective of the robot is to be at coordinates (x, y) after all the instructions are executed.
determine whether this objective is achievable. 
"
p03493,"snuke has a grid consisting of three squares numbered 1, 2 and 3.
in each square, either 0 or 1 is written. the number written in square i is s_i. snuke will place a marble on each square that says 1.
find the number of squares on which snuke will place a marble. 
"
p03494,"there are n positive integers written on a blackboard: a_1, ..., a_n. snuke can perform the following operation when all integers on the blackboard are even: replace each integer x on the blackboard by x divided by 2. find the maximum possible number of operations that snuke can perform. 
"
p03495,"takahashi has n balls. initially, an integer a_i is written on the i-th ball. he would like to rewrite the integer on some balls so that there are at most k different integers written on the n balls. find the minimum number of balls that takahashi needs to rewrite the integers on them. 
"
p03496,"snuke has an integer sequence, a, of length n. the i-th element of a (1-indexed) is a_{i}. he can perform the following operation any number of times: operation: choose integers x and y between 1 and n (inclusive), and add a_x to a_y. he would like to perform this operation between 0 and 2n times (inclusive) so that a satisfies the condition below. show one such sequence of operations.
it can be proved that such a sequence of operations always exists under the constraints in this problem. condition: a_1 \leq a_2 \leq ...  \leq a_{n} 

"
p03497,"takahashi has n balls. initially, an integer a_i is written on the i-th ball. he would like to rewrite the integer on some balls so that there are at most k different integers written on the n balls. find the minimum number of balls that takahashi needs to rewrite the integers on them. 
"
p03501,"you are parking at a parking lot. you can choose from the following two fee plans: plan 1: the fee will be a×t yen (the currency of japan) when you park for t hours. plan 2: the fee will be b yen, regardless of the duration. find the minimum fee when you park for n hours. 
"
p03502,"an integer x is called a harshad number if x is divisible by f(x), where f(x) is the sum of the digits in x when written in base 10. given an integer n, determine whether it is a harshad number. 
"
p03503,"joisino is planning to open a shop in a shopping street. each of the five weekdays is divided into two periods, the morning and the evening. for each of those ten periods, a shop must be either open during the whole period, or closed during the whole period. naturally, a shop must be open during at least one of those periods. there are already n stores in the street, numbered 1 through n. you are given information of the business hours of those shops, f_{i,j,k}. if f_{i,j,k}=1, shop i is open during period k on day j (this notation is explained below); if f_{i,j,k}=0, shop i is closed during that period. here, the days of the week are denoted as follows. monday: day 1, tuesday: day 2, wednesday: day 3, thursday: day 4, friday: day 5. also, the morning is denoted as period 1, and the afternoon is denoted as period 2. let c_i be the number of periods during which both shop i and joisino's shop are open. then, the profit of joisino's shop will be p_{1,c_1}+p_{2,c_2}+...+p_{n,c_n}. find the maximum possible profit of joisino's shop when she decides whether her shop is open during each period, making sure that it is open during at least one period. 
"
p03504,"joisino is planning to record n tv programs with recorders. the tv can receive c channels numbered 1 through c. the i-th program that she wants to record will be broadcast from time s_i to time t_i (including time s_i but not t_i) on channel c_i. here, there will never be more than one program that are broadcast on the same channel at the same time. when the recorder is recording a channel from time s to time t (including time s but not t), it cannot record other channels from time s-0.5 to time t (including time s-0.5 but not t). find the minimum number of recorders required to record the channels so that all the n programs are completely recorded. 
"
p03523,"you are given a string s. takahashi can insert the character a at any position in this string any number of times. can he change s into akihabara? 
"
p03524,"snuke has a string s consisting of three kinds of letters: a, b and c. he has a phobia for palindromes, and wants to permute the characters in s so that s will not contain a palindrome of length 2 or more as a substring. determine whether this is possible. 
"
p03525,"in code festival xxxx, there are n+1 participants from all over the world, including takahashi. takahashi checked and found that the time gap (defined below) between the local times in his city and the i-th person's city was d_i hours.
the time gap between two cities is defined as follows. for two cities a and b, if the local time in city b is d o'clock at the moment when the local time in city a is 0 o'clock, then the time gap between these two cities is defined to be min(d,24-d) hours.
here, we are using 24-hour notation.
that is, the local time in the i-th person's city is either d o'clock or 24-d o'clock at the moment when the local time in takahashi's city is 0 o'clock, for example. then, for each pair of two people chosen from the n+1 people, he wrote out the time gap between their cities. let the smallest time gap among them be s hours. find the maximum possible value of s. 
"
p03533,"you are given a string s. takahashi can insert the character a at any position in this string any number of times. can he change s into akihabara? 
"
p03534,"snuke has a string s consisting of three kinds of letters: a, b and c. he has a phobia for palindromes, and wants to permute the characters in s so that s will not contain a palindrome of length 2 or more as a substring. determine whether this is possible. 
"
p03543,"we call a 4-digit integer with three or more consecutive same digits, such as 1118, good. you are given a 4-digit integer n. answer the question: is n good? 
"
p03544,"it is november 18 now in japan. by the way, 11 and 18 are adjacent lucas numbers. you are given an integer n. find the n-th lucas number. here, the i-th lucas number l_i is defined as follows: l_0=2 l_1=1 l_i=l_{i-1}+l_{i-2} (i≥2) 

"
p03545,"sitting in a station waiting room, joisino is gazing at her train ticket. the ticket is numbered with four digits a, b, c and d in this order, each between 0 and 9 (inclusive). in the formula a op1 b op2 c op3 d = 7, replace each of the symbols op1, op2 and op3 with + or - so that the formula holds. the given input guarantees that there is a solution. if there are multiple solutions, any of them will be accepted. 
"
p03546,"joisino the magical girl has decided to turn every single digit that exists on this world into 1. rewriting a digit i with j (0≤i,j≤9) costs c_{i,j} mp (magic points). she is now standing before a wall. the wall is divided into hw squares in h rows and w columns, and at least one square contains a digit between 0 and 9 (inclusive). you are given a_{i,j} that describes the square at the i-th row from the top and j-th column from the left, as follows: if a_{i,j}≠-1, the square contains a digit a_{i,j}. if a_{i,j}=-1, the square does not contain a digit. find the minimum total amount of mp required to turn every digit on this wall into 1 in the end. 
"
p03547,"in programming, hexadecimal notation is often used. in hexadecimal notation, besides the ten digits 0, 1, ..., 9, the six letters a, b, c, d, e and f are used to represent the values 10, 11, 12, 13, 14 and 15, respectively. in this problem, you are given two letters x and y. each x and y is a, b, c, d, e or f. when x and y are seen as hexadecimal numbers, which is larger? 
"
